_id,productId,productName,category,price,grade,filters.plasticFree,filters.fscCertified,filters.carbonNeutral,filters.recycledMaterials,productImage,manufacturingProcess,transportationMethod,materialsUsed,plasticReducedPercent,chemicalUsedPercent,co2ReducedPercent,isRecyclable,packagingRecyclable,biodegradablePercent,waterUsedLiters,energyUsedKwh,productWeightKg,productLifespanYears,createdAt,updatedAt
afeaf6cf048b4b308b94611f,1,MyBlush Women Top,women's clothing,30.88,1,False,True,False,True,71WewDr9t8L._AC_UL320_.jpg,hand-crafted,sea,Glass,-297,140,91,True,False,68,16.24,7.54,3.1,3.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
a74efedd0bc8496885d6a910,2,"Ridhi Home & Decor Brass Decorative Weighing Scale Set, 10 g (Golden and Brown)",appliances,5.76,5,True,False,False,False,61j4CowaamL._AC_UL320_.jpg,hand-crafted,air,Metal,99,4,3,True,False,36,1.34,0.65,4.35,6.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
d94c0ea3385e467598011a2b,3,Rangshaily Men's Black White Floral Print Fullsleeves Premium Cotton Regular Fit Shirt with Spread Collar,men's clothing,27.18,5,True,True,False,False,51oiWRu+GpL._AC_UL320_.jpg,hand-crafted,sea,Metal,98,137,68,False,False,30,9.52,8.28,1.33,8.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
e9a7a6fda3154806a0a5479d,4,Jockey Modern Trunks with Double Layer Contoured Pouch US70_Black_M,men's clothing,45.51,2,True,True,True,False,61uU-gYigyL._AC_UL320_.jpg,hand-crafted,rail,Plastic,3,0,29,True,False,92,26.35,7.15,4.88,8.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
7c2730362ef64f9a9e8adcb0,5,NILUS Cute and Shiny Stone Chain Bracelet for Women and Girls (Purple) (Purple),accessories,14.81,4,False,False,True,True,51PwMCj2OUL._AC_UL320_.jpg,water-based infusion,rail,Fabric,-2,171,96,False,True,91,25.82,4.99,3.5,8.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
36853d05507a46e2ab1213d1,6,PC Jeweller The Hector 22 KT Yellow Gold Ring for Her,accessories,34.94,2,False,True,True,True,61PkMJDLEfL._AC_UL320_.jpg,hand-crafted,truck,Metal,-20,21,93,True,True,16,5.6,5.2,4.58,5.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
6d7ac88abe83496a9d30bcd0,7,"Funk For Hire Women Printed Faux Leather 15.6"" Laptop Handbag/Sling Bag Navy Blue And Brown",accessories,12.74,4,True,False,False,False,81mwue+9jDL._AC_UL320_.jpg,water-based infusion,rail,Metal,76,144,20,True,False,0,18.9,5.22,2.74,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
1483fda0b8d947038a1266c3,8,Balwaan Tiller Attachment for Brush Cutter 28mm S Type Weeder/Weeding in Fruits and Vegetables//Suitable for All Type of S...,home & kitchen,30.19,5,False,True,False,True,41NzE7PdYqL._AC_UL320_.jpg,solar-powered,truck,Composite,-277,74,88,False,False,59,4.33,5.64,4.46,3.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
09a3bc2312194297b542e438,9,Aqualite Men's Trending Shoes,men's shoes,14.2,1,True,False,True,True,61YZ4JMrDrL._AC_UL320_.jpg,water-based infusion,air,Metal,37,54,72,False,True,45,10.2,3.11,3.83,9.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
7d89f691738643b18ff056a7,10,Sun Fashion And Lifestyle Women's Cotton Blend Dupatta (Dupp Corona; White; 2.25 mts),women's clothing,33.04,2,False,False,True,True,61XtxCA3JvL._AC_UL320_.jpg,hand-crafted,truck,Plastic,-16,112,44,True,False,46,7.14,7.76,2.5,6.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
773abbbe6ead4f8b8ee25b80,11,trunk 80 size,men's clothing,7.48,1,False,False,True,False,41Sach4LYlL._AC_UL320_.jpg,water-based infusion,rail,Metal,-7,77,96,True,False,81,16.4,2.82,1.76,4.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
0873e55f7886476787a9e9e1,12,"BETSU Breast Lift Tape & Nipple Pasties: Your Solution to a Confident, Contoured, and Fashionable Look in All Your Clothes!",women's clothing,37.48,1,True,False,True,False,71+Relh3cuL._AC_UL320_.jpg,solar-powered,air,Glass,55,82,52,True,True,49,3.74,5.63,2.74,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
e4854b34311f458c95a094ac,13,"ZEBRONICS Zeb-Delight 10 Wireless Bluetooth v5.0 Portable Speaker with Supporting 5W RMS, RGB LED Lights, 52mm Driver, Upt...","tv, audio & cameras",42.76,5,True,True,True,True,81uvbbq8ogL._AC_UL320_.jpg,water-based infusion,sea,Composite,76,5,71,True,True,43,4.99,5.45,1.39,9.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
15561129bed44e5f8b89e0b3,14,"Empica Full Chrome Car Side Cladding Door Beading Protective Garnish Moulding Compatible with City Zx (Set of 4 Pcs, Silver)",car & motorbike,37.33,5,False,False,False,False,41h6HnEG8hL._AC_UL320_.jpg,hand-crafted,sea,Paper,-175,347,13,True,True,86,8.86,5.94,0.11,9.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
04d473dcafb94726a647daa7,15,KGF Running Shoes,men's shoes,45.93,5,True,False,True,True,613mbxuSQSL._AC_UL320_.jpg,hand-crafted,truck,Paper,66,0,70,True,True,81,29.14,8.32,0.76,4.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
d0e5db9b760d4afaabd5a768,16,TS Traderss Women's Soft Cotton Ankle Length Leggings Free Size for Waist 26-34,women's clothing,31.82,4,False,False,True,False,31JTLD4W5-L._AC_UL320_.jpg,solar-powered,air,Fabric,-6,135,49,True,True,48,8.8,8.73,4.73,1.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
55e2760edf4d4f158c96e209,17,RARE Women Casual Dress,women's clothing,30.41,4,False,False,True,False,61t4HcaTlDL._AC_UL320_.jpg,water-based infusion,truck,Fabric,-6,27,43,True,True,3,9.5,2.03,1.96,4.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
4769ac72a82a48599bd35488,18,LEOTUDE Cotton Blend Half Sleeve Back Print Oversized T-Shirts for Women,women's clothing,15.11,3,False,True,True,False,71zP0hH47FL._AC_UL320_.jpg,water-based infusion,truck,Composite,-77,70,25,False,False,96,12.65,6.28,3.47,3.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
4b476651bb8940a4b4404a72,19,Lancer Active Running Shoe (Active-32),stores,8.03,4,True,False,True,True,71JIm9VEbuL._AC_UL320_.jpg,solar-powered,rail,Plastic,16,126,4,True,False,16,3.26,2.21,1.03,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
b9d203488a59485d83cc09df,20,Woodland Men Leather Mules,men's shoes,33.84,4,True,False,True,True,51qqj3fYghL._AC_UL320_.jpg,hand-crafted,truck,Metal,0,8,38,True,False,0,21.91,8.38,3.07,9.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
09288bac26ef43b5a65806e4,21,"theKiteco. Video Making Kit for Vlogging with Bluetooth Remote, Mic, Mini Tripod Stand, LED Light & Phone Holder Clip for ...","tv, audio & cameras",24.27,4,False,False,False,True,61kQwsDW9TL._AC_UL320_.jpg,water-based infusion,sea,Glass,-30,314,72,False,True,92,9.49,2.06,3.83,2.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
b4179c171d5e44619de3e2d3,22,Dixcy Scott Cotton Men’s Trunk Modern Fit Solid Innerwear Pack of 3,stores,23.13,3,True,False,False,False,61kn-vFi5WL._AC_UL320_.jpg,hand-crafted,truck,Plastic,31,8,72,False,False,35,20.4,3.01,0.55,8.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
f3fde55b8e2f4798bd35f925,23,YouBella Jewellery Sets for Women Gold Plated Kundan Wedding Bridal Necklace Jewellery Set with Earrings for Girls/Women,accessories,41.38,4,True,False,True,True,71eLMo644PL._AC_UL320_.jpg,solar-powered,air,Fabric,5,21,88,True,False,22,25.3,8.1,4.89,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
a35510b0a9564dd2808156f4,24,AISEN OFR - 9Fin 2400-Watt PTC Fan Heater White _AOHTR01,appliances,,2,False,True,False,True,71bOIm7dxGL._AC_UL320_.jpg,hand-crafted,sea,Composite,-1,23,73,True,True,20,20.98,9.67,3.5,10.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
713a6cf318544ccb9e2cdb94,25,MUTAQINOTI Men's Federal Blue Suede Leather Loafers Casual Front Monk Penny Shoes for Men (SU_FM),men's shoes,37.17,3,True,True,True,True,61vo6p6IvwL._AC_UL320_.jpg,water-based infusion,sea,Metal,43,32,54,True,True,92,4.22,3.84,0.59,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
bd1752d7a05440cfbd98262b,26,Arrow Men Dark Grey Vertical Stripe Dobby Formal Shirt,men's clothing,14.33,5,False,True,True,False,81zgiPubLRL._AC_UL320_.jpg,water-based infusion,truck,Composite,-7,18,52,False,False,46,11.48,7.19,1.5,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
6afded432c7f48e3848206d7,27,"RIMEZS Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's",women's shoes,25.95,3,False,False,False,True,71InVYFSRJL._AC_UL320_.jpg,solar-powered,truck,Fabric,-35,42,22,False,False,30,11.98,9.1,4.44,10.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
6ae75719ac90432bbac03d48,28,Noty Girl's Satin Solid Night Suit Set Pack of 1,women's clothing,18.76,3,False,True,False,False,71-2bC9ZmrL._AC_UL320_.jpg,solar-powered,sea,Composite,-137,192,33,False,True,45,28.07,9.87,0.93,7.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
64181a43f1c94e05bf749bb4,29,BODYCARE Women's Camisole,women's clothing,32.37,3,True,True,True,False,71-gyBT1AfL._AC_UL320_.jpg,water-based infusion,truck,Plastic,78,392,10,False,True,47,13.14,4.17,0.81,4.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
db405a968ceb4c8891540cf1,30,"MKF Kitchen's Chimney Cassette Filter (320 X 260 MM) - Standard, 2 Pcs (320 * 260 * 52 mm)",appliances,17.23,1,False,False,True,True,81Zqq9PhJ2L._AC_UL320_.jpg,solar-powered,sea,Fabric,-66,222,40,True,False,31,1.36,9.92,3.7,5.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
8025bb68301b43a186ec29f7,31,URBAN PENDU Sidhu Moosewala Legend Text Printed Casual Wear Men (White) Regular Size,men's clothing,47.57,2,True,False,True,False,51eOXoVouzL._AC_UL320_.jpg,hand-crafted,rail,Fabric,49,48,91,False,True,30,14.0,3.21,3.0,8.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
bb85d0e3258b4a66a8d41840,32,"SKY TOUCH Wireless Earbuds pro with Power Bank Charge Your Phone, Upto 220 Hours Total Playback (Charging case Backup) tim...","tv, audio & cameras",12.8,2,True,True,False,True,21YqSS3LRAL._AC_UL320_.jpg,solar-powered,sea,Metal,79,64,13,True,True,69,24.48,1.97,3.16,4.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
12d3e6a226e34ac4ba7e9a97,33,"SYSKA Iron Press | 2-Year Warranty | Iron Box | Dry Iron, Electric Press, Electric Iron Press for Clothes, SDI-08 1000W Mu...",appliances,34.67,1,False,False,True,True,512FoggiCVL._AC_UL320_.jpg,solar-powered,sea,Paper,-153,7,34,True,False,69,3.09,1.96,3.53,2.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
276470ccab024dbf9a386524,34,"Divs Edenic Girl's and Boy's Polycarbonate Cartoon 18 inch Spider Men Suitcase/Trolley Bag, Blue",accessories,27.82,2,True,True,True,False,41N0t5kP1YL._AC_UL320_.jpg,solar-powered,sea,Metal,29,8,13,False,False,53,17.03,9.29,0.56,9.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
0a9e794079b5472a87e60e79,35,Fashiol Women's Medium Support Cross Back Wirefree Removable Cups Yoga Sport Bra (Free Size) Fit Form 34 Till 38 (Grey),women's clothing,31.51,5,False,False,False,True,41iCvoffUpL._AC_UL320_.jpg,water-based infusion,truck,Glass,-116,208,42,True,False,28,1.74,3.61,3.37,9.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
6fc5f47f50094b29b0e66e9a,36,"pdpm evolove Women Cotton Nighty Gown, Black",women's clothing,9.65,4,True,True,True,True,81HHLmWCIlL._AC_UL320_.jpg,water-based infusion,air,Plastic,71,146,84,False,False,66,6.49,0.58,4.34,4.0,2025-06-20T14:53:08.286Z,2025-06-20T14:53:08.286Z
